name
ampere
aristotle
avogadro
bell
bengio
bernoulli
bohr
boyle
braun
bunson
curie
dalton
darwin
dirac
edison
einstein
euclid
euler
faraday
fermi
feynman
fisher
fleming
gauss
gibbs
hawking
heisenberg
hertz
hewish
hilbert
hinton
hubble
hodgkin
hooke
hypatia
ising
joule
kaku
karpathy
kepler
kirchoff
lagrange
lamarck
laplace
lecun
leibniz
maxwell
mendel
minsky
nakaya
natta
newton
nightingale
nobel
nye
ohm
oppenheimer
pascal
planck
pythagoras
ray
riemann
sagan
schottky
schrodinger
seaborg
somerville
steno
shoemaker
simpson
stevens
tartaglia
teller
tesla
thompson
toricelli
townes
turing
tyson
urey
venter
virchow
volta
wald
wallace
watt
wheeler
willis
wilson
wright
